1,unstable,5.34159478509584e-06,0.00013063893039754552,3.1568360863541864e-18
1,stable,6.314640164176787e-06,0.00015443662625978455,5.022413236019483e-18
2,unstable,1.064784784218944e-13,1.2249717795129945e-15,1.2508746513096494e-15
2,stable,1.8126449146353336e-13,1.2219415512144849e-15,2.083881332923031e-15
3,unstable,1.9431695645815465e-13,1.9234544399781678e-14,2.395726048470587e-15
3,stable,1.7962215024315778e-13,2.1616784423458756e-14,2.2070356722075397e-15
4,unstable,1.0942077474445887e-17,2.0929519890751924e-13,8.324046883190502e-16
4,stable,1.5141426886811682e-17,3.8350264059781855e-13,1.5411044958699242e-15
5,unstable,0.0010574669666743972,0.0025840307432355783,1.939537596958366e-15
5,stable,0.0010074838493238688,0.002461891786990957,1.8358041616197665e-15
6,unstable,0.00022618327491229207,0.0005782181584384379,8.93787838207429e-16
6,stable,0.00030175863855018577,0.0007714200985340077,1.1840658089950923e-15
7,unstable,0.0004830226387995266,0.011813081802153005,2.2541036332930523e-14
7,stable,0.00037986531939114066,0.009290414922242933,1.6950370451207422e-14
8,unstable,0.002149057664638801,3.475494721594855e-14,0.005251446381090671
8,stable,0.0016758133044271666,4.3263920208901e-14,0.004095024464751185
9,unstable,0.0011169939801582672,3.2627385875478828e-15,0.0028554993839881885
9,stable,0.000804139296560774,1.6674254746792787e-15,0.0020557131969896458